n_keeper,run,AUROC,channel
1,0,0.7618054861878631,Fp1
1,0,0.7875097070016078,F3
1,0,0.7924800140489716,C3
1,0,0.7583061322472233,P3
1,0,0.7521516515597259,F7
1,0,0.7768871861134293,T3
1,0,0.7504237247174901,T5
1,0,0.7236912061815475,O1
1,0,0.7858337387986841,Fz
1,0,0.764245528334778,Cz
1,0,0.7316509475000241,Pz
1,0,0.7407445149399213,Fp2
1,0,0.7412838375603767,F4
1,0,0.7836079756914125,C4
1,0,0.7560529800897716,P4
1,0,0.7431656264198001,F8
1,0,0.7477025420260808,T4
1,0,0.74829140660495,T6
1,0,0.702643526678546,O2
