n_keeper,run,AUROC,channel
1,0,0.8458526387396766,Fp1
1,0,0.8824917766227948,F3
1,0,0.9111896001758744,C3
1,0,0.9075082648570397,P3
1,0,0.8772321335982513,F7
1,0,0.9135228408709106,T3
1,0,0.8981421182092324,T5
1,0,0.887971262770604,O1
1,0,0.8790821342204487,Fz
1,0,0.8773482771350709,Cz
1,0,0.8901904339205494,Pz
1,0,0.8273360405838701,Fp2
1,0,0.8512657571521605,F4
1,0,0.8763652050555624,C4
1,0,0.8704211447604747,P4
1,0,0.8260957935299754,F8
1,0,0.8501209137177961,T4
1,0,0.8708483870566324,T6
1,0,0.8673848208693343,O2
